Lote_Ancho(m),Lote_Largo(m),No. Habitaciones,No. Baños,Año_Construida,Capacidad_Garaje,Estrato,Precio_Casa
15,11,1,3,2003,2,8,683391.16
14,34,4,1,2001,1,9,1393178.62
6,13,5,2,1969,1,4,465221.56
17,17,2,3,1981,2,10,1010324.65
20,23,3,1,1963,2,10,1270806.3
19,16,1,1,1999,0,9,891157.66
19,21,3,1,1977,2,4,1024669.11
6,11,3,3,2002,2,10,628923.31
10,27,4,3,1973,2,10,1030438.19
10,31,5,2,1971,0,10,1079746.34
19,21,1,3,1979,0,9,1096730.7
9,19,3,3,2012,1,7,755404.75
11,17,1,1,1953,0,2,327587.33
9,36,2,2,2008,1,9,1033756.12
7,21,4,3,1957,2,4,565474.32
8,31,2,3,1961,1,8,785522.17
6,35,1,1,1980,1,7,646324.11
13,27,1,1,1983,2,7,923698.59
13,37,5,3,1998,1,8,1453599.56
16,39,3,2,2006,0,1,1421307.41
8,32,3,2,1975,0,5,756412.73
19,14,2,1,1967,0,2,571641.38
19,35,4,1,1987,0,2,1515631.64
12,16,3,3,1999,1,1,592102.33
19,12,5,1,1957,1,5,710184.91
14,10,2,3,1990,2,2,484621.03
5,31,2,2,1955,1,4,451990.6
5,32,5,2,2018,1,3,669997.83
5,25,4,3,1993,1,3,546698.02
7,20,5,1,2013,2,2,582146.86
18,20,4,2,1978,0,6,1027135.17
10,32,5,1,1977,1,2,860621.31
13,18,5,2,1960,2,8,893860.17
5,34,1,3,2014,2,8,715621.85
16,24,2,3,1968,2,5,1035330.33
8,29,5,3,1958,0,10,900479.12
10,10,5,2,1976,1,7,590482.15
15,23,3,1,1983,2,4,921883.17
12,38,2,1,1993,0,1,990809.92
6,10,3,1,2017,2,2,347773.0
11,28,2,2,1964,2,10,971918.78
17,19,3,2,2000,2,10,1111069.99
19,30,5,2,1962,2,4,1428106.35
15,17,5,2,1998,2,1,794496.02
7,11,1,2,2019,0,8,485570.15
20,20,3,1,2005,1,9,1193070.9
18,35,4,2,2000,1,4,1578996.0
12,16,1,2,1986,1,10,729073.0
9,29,3,1,1966,1,3,672128.62
15,30,3,2,2007,0,2,1110296.29
8,24,1,1,1978,0,5,501710.05
12,39,5,1,1982,0,3,1164398.19
16,11,3,3,2009,2,10,877472.94
11,37,5,3,2004,2,7,1318103.7
19,36,1,3,1959,2,6,1585790.98
12,32,5,3,1996,1,1,1051173.27
17,21,2,2,1972,2,8,1040776.65
16,12,4,3,1970,1,2,598084.29
20,16,3,1,1962,2,5,859470.97
6,14,4,2,1982,1,9,589978.07
18,11,5,3,1973,2,8,859823.19
6,23,3,1,1960,2,2,406987.77
20,24,5,2,1966,0,9,1380254.16
7,26,2,2,2017,2,5,686135.1
9,19,1,3,1996,2,10,767054.79
8,27,3,2,1974,0,6,690210.04
8,31,2,1,2022,1,3,716819.53
9,33,2,2,1970,0,3,710897.33
9,26,3,1,1961,0,10,793241.66
17,32,5,2,1986,1,8,1528698.57
13,36,2,3,1991,2,10,1378969.96
17,10,4,1,1966,1,10,737951.57
12,39,2,2,1997,2,2,1111817.79
14,13,5,2,1977,2,2,648923.87
20,34,5,2,1990,1,5,1709939.83
17,18,4,1,1996,0,6,911858.11
20,23,2,1,1967,1,2,1005581.11
14,12,5,1,2020,2,5,753916.63
5,21,3,3,1962,1,7,530241.2
9,11,1,3,1962,1,10,528283.46
6,23,1,1,1980,2,10,595877.53
6,15,1,2,1951,0,8,363027.46
5,21,2,3,1965,1,7,490758.05
19,34,4,1,1958,2,8,1621228.38
12,16,5,2,2022,2,9,957751.2
8,32,3,3,1987,1,5,814529.43
9,34,3,2,2003,0,5,889745.03
8,27,2,2,2005,1,10,848786.14
12,39,1,2,1994,0,4,1098129.31
19,29,2,2,1983,0,9,1422362.75
9,33,4,3,1958,0,5,851777.8
16,11,4,3,1957,0,2,528436.87
14,32,5,3,1956,1,10,1370449.67
16,25,5,1,1985,2,8,1224930.57
18,29,4,3,1967,2,7,1423289.62
18,15,4,2,1952,2,8,896320.5
16,19,4,3,1977,2,3,877519.16
17,11,2,2,2019,2,4,647925.36
5,26,4,1,1993,2,5,568815.56
10,13,3,2,1970,1,6,527865.53
5,20,1,2,1977,0,1,237109.08
20,18,4,2,2003,2,4,1070753.56
8,23,1,1,2003,1,10,722576.6
7,38,2,3,2014,2,5,868400.61
13,21,1,3,1970,2,7,815809.84
11,28,2,1,1962,0,5,739974.71
13,35,3,2,2006,0,1,1081814.87
8,23,2,3,1998,0,7,691113.41
15,40,2,1,2003,2,8,1549227.19
14,29,5,3,1959,2,7,1211727.69
15,36,4,1,2002,2,4,1389193.47
18,36,4,2,1993,0,8,1707327.39
17,38,3,3,1996,1,5,1612912.4
17,22,3,1,2002,2,10,1196017.12
17,35,4,3,1995,2,9,1696901.44
5,24,5,3,1962,2,10,739987.8
20,25,4,3,1986,1,5,1344240.92
5,23,5,3,1973,2,1,486125.92
11,29,3,1,1951,1,9,930976.76
6,36,1,2,1963,2,5,590269.9
8,24,3,1,1959,1,6,602245.1
16,27,3,1,1984,2,4,1096979.98
7,30,2,1,1974,0,6,622511.44
16,15,2,2,1952,0,8,723592.71
11,37,2,3,1966,0,3,977531.82
17,11,2,3,1961,0,5,558326.52
18,40,5,3,2003,2,2,1794723.21
10,35,4,2,1973,0,2,877833.42
5,18,1,3,1978,1,7,467898.03
13,19,3,2,1992,0,10,899917.02
20,17,5,3,1974,0,10,1159602.78
8,40,1,3,2009,0,10,1032006.07
19,21,5,1,2014,2,6,1204761.04
5,26,5,2,1977,0,4,538742.45
6,23,3,1,1965,1,5,468408.67
20,24,4,1,1996,0,1,1123503.94
13,26,2,1,2007,0,7,963417.56
8,31,4,2,1976,0,8,876761.71
15,36,3,2,2002,1,9,1513504.24
9,34,3,3,1991,0,8,988230.96
7,30,3,1,2008,1,5,697015.85
20,31,1,3,1996,1,3,1426919.19
14,12,4,1,1983,0,10,728797.67
17,21,4,2,1986,1,9,1164314.59
13,34,5,2,1955,2,6,1235794.4
16,16,5,2,1956,0,5,779308.24
18,36,5,1,1974,0,3,1496868.65
19,17,3,2,1982,1,6,953538.72
17,18,4,1,2004,1,3,868854.6
18,13,3,3,2007,0,10,954378.16
16,18,1,1,1956,2,6,712055.72
8,39,5,3,2006,1,4,1010006.25
6,24,3,1,1961,1,2,390052.44
16,25,3,3,1965,2,8,1170469.81
5,18,1,2,1992,2,4,369499.35
7,31,2,3,1956,0,9,742228.5
10,24,4,2,2000,2,7,889323.8
7,20,2,2,2022,0,2,472576.21
9,34,5,3,1981,2,4,975202.96
5,23,3,1,1957,1,5,419144.39
12,35,1,1,2021,0,3,999116.15
12,24,1,1,1994,0,9,842753.58
16,38,4,1,2008,0,5,1506658.86
9,10,2,1,1953,2,2,258776.77
13,33,4,2,2016,1,3,1173323.14
19,17,3,1,1978,0,9,964515.13
13,35,4,2,1978,0,7,1261511.52
18,12,1,2,1977,0,2,497156.75
16,10,1,2,1993,0,9,637792.97
15,19,5,3,1953,1,4,856675.18
5,17,5,3,1958,2,9,656607.48
6,13,3,2,1954,1,2,291553.41
6,20,2,3,2005,0,10,667510.36
9,15,4,1,1999,1,4,557715.71
17,19,3,1,1964,0,5,830453.76
12,31,5,2,1981,2,2,1029686.32
6,21,4,1,1977,2,10,676350.77
11,27,5,2,1971,2,1,822860.51
16,28,4,2,1966,0,7,1218584.24
20,31,2,1,2008,1,10,1618412.61
15,37,3,3,2020,2,1,1368167.41
13,26,4,1,2006,0,8,1047607.68
16,13,1,1,1975,0,3,473305.93
18,28,1,2,1974,1,10,1333175.42
11,14,4,2,1959,2,6,631023.57
19,21,4,2,1994,0,7,1166740.95
5,24,4,2,1960,1,10,666286.16
18,19,1,3,2002,2,1,824198.99
14,18,1,3,2021,1,6,808966.18
15,21,4,3,2017,1,7,1093444.52
12,31,5,2,1977,0,6,1091840.65
9,29,5,2,2014,0,4,879673.05
9,33,2,2,1998,0,1,689325.58
16,23,3,3,1996,1,9,1177108.8
6,27,5,2,2001,0,4,642955.3
17,13,1,1,2003,1,7,704696.73
11,37,5,1,2009,1,7,1245665.98
13,39,2,2,2006,0,2,1166601.2
20,31,2,1,1996,2,1,1356861.33
10,40,3,1,1980,2,8,1129407.86
15,13,5,3,1995,2,8,899373.21
19,15,1,2,1975,1,7,809551.42
16,16,1,2,1954,1,8,720142.74
9,10,4,3,2001,1,3,497040.47
6,23,1,1,2003,0,2,356697.42
5,27,3,1,1982,1,7,556071.27
6,25,3,2,1999,0,8,666929.7
19,21,1,1,1987,0,1,811647.58
15,26,1,3,1976,2,10,1146463.51
8,30,4,3,1964,2,9,906021.22
10,36,1,2,2010,2,4,969647.25
9,25,4,3,1970,0,4,710352.64
11,34,4,3,1995,0,3,1021002.74
11,23,1,2,2018,0,6,774139.8
17,40,2,3,1955,1,1,1438876.72
14,10,2,3,1987,0,6,551790.3
14,15,4,3,2011,2,2,748141.67
14,39,1,1,2011,2,9,1451575.08
18,37,2,2,1995,0,2,1466694.99
19,40,1,2,1962,0,7,1698241.82
15,33,1,2,1952,2,1,1011249.48
14,39,1,1,1955,0,7,1208980.79
18,11,5,1,1957,2,5,664848.09
16,33,1,2,1993,1,8,1365668.74
16,37,5,1,1982,2,4,1504449.68
17,15,4,2,1999,1,10,995509.64
11,13,2,1,1960,0,7,481765.57
7,20,2,3,1977,0,6,537112.5
20,10,2,3,2019,1,5,758788.81
20,27,2,2,1990,0,4,1281195.75
20,20,2,1,1965,1,7,1018720.82
17,18,2,1,2017,0,5,846444.6
14,34,2,3,1997,2,5,1239935.54
6,12,4,3,2005,0,1,386034.64
10,32,1,1,2013,2,2,778436.49
10,22,3,1,2008,2,5,731777.46
6,35,5,1,2011,1,3,725534.27
13,33,3,1,1960,0,2,927184.52
14,25,3,1,1967,1,4,890871.42
8,40,1,1,1968,0,4,724816.4
19,31,1,2,2004,2,4,1395920.27
10,34,1,1,1975,2,4,824799.44
5,21,2,3,1955,0,3,330773.68
17,31,4,2,1953,0,7,1331387.16
15,12,2,1,1978,1,9,681231.24
10,14,4,3,2008,0,5,651389.1
12,17,4,2,1966,0,4,619627.54
8,26,3,3,1992,0,2,618096.61
7,38,3,1,2015,1,2,733243.82
18,29,4,1,1983,0,5,1286172.0
10,13,4,1,1957,2,7,573261.78
20,19,2,1,1962,1,10,1083094.17
9,34,2,2,1957,1,10,922014.32
12,32,3,2,2014,2,9,1241629.69
6,36,1,3,1992,2,7,739493.57
7,10,4,1,1988,2,5,441128.75
10,38,2,3,2008,0,10,1190076.06
16,16,3,2,1993,2,10,959360.09
19,14,2,1,1958,0,10,808485.22
13,18,4,1,1986,1,6,771690.5
8,12,4,2,1985,1,3,444704.57
16,39,5,2,1977,2,5,1601497.62
8,30,1,2,1991,0,8,749610.52
19,14,5,2,1992,2,1,786924.36
6,20,3,2,1991,2,1,416232.29
10,20,2,1,2015,0,7,707553.91
5,25,3,2,2004,2,5,583009.17
7,30,4,1,2021,1,5,762224.45
12,35,5,1,1997,2,1,1084993.32
7,32,5,2,1971,0,9,877513.87
13,26,5,2,1976,0,1,851305.95
16,39,3,1,2016,1,5,1555433.6
14,12,4,2,1962,0,10,723373.76
15,38,2,2,1994,0,9,1493705.99
13,33,2,2,1959,1,4,998367.41
6,12,3,3,1958,2,8,481951.18
16,16,5,1,2003,1,6,881724.58
18,17,1,3,1976,2,3,774480.85
15,15,3,2,1983,1,4,688597.23
18,19,3,3,1950,2,2,834956.83
20,40,4,2,1981,1,1,1788385.92
9,29,2,3,2020,2,8,945384.8
11,26,3,2,2016,1,1,783339.2
18,20,3,3,1969,2,1,875889.84
9,24,5,3,1984,1,4,773481.64
11,22,5,3,1966,0,10,956473.99
12,12,1,1,1967,2,10,573395.87
10,27,4,3,1994,1,6,924154.44
11,30,1,1,2002,2,9,1004062.93
13,34,5,2,2017,2,1,1192231.08
12,20,2,3,2014,1,7,866356.92
10,32,5,2,1950,2,10,1078702.93
15,37,4,2,2007,1,5,1469298.04
7,29,5,3,1975,0,8,850415.69
18,16,4,1,1969,2,7,879283.55
20,33,4,3,1959,0,4,1550031.05
11,14,4,2,2008,2,4,659770.72
18,12,4,2,1990,2,6,799969.55
13,40,4,3,1954,2,6,1371711.46
5,29,2,1,2014,1,9,661960.15
5,31,1,1,1966,0,5,412865.9
20,24,3,2,1971,2,8,1310443.23
6,14,1,2,1990,1,5,379677.82
17,14,4,1,2017,2,2,752544.21
7,29,2,3,2018,1,6,765376.03
12,17,5,2,1960,2,9,843881.23
20,32,2,1,2005,0,3,1435123.94
15,26,4,2,2000,0,1,975674.42
10,26,2,3,1970,2,1,653944.52
8,39,2,1,1975,1,3,739790.16
15,22,4,2,1968,2,10,1108897.75
11,34,2,3,2009,1,5,1076754.01
6,40,3,2,2020,2,3,788711.25
10,27,3,3,1996,1,9,978739.76
17,18,2,3,2020,0,8,1024012.14
19,30,5,1,1975,2,3,1395919.25
14,16,4,3,1989,0,9,875618.75
20,39,3,2,1954,0,6,1767919.14
18,10,5,3,1970,2,7,771292.08
17,26,2,3,1953,2,4,1066484.87
7,21,5,1,1972,1,4,558184.18
7,20,1,3,1964,1,2,384764.37
10,21,3,3,1957,0,5,647269.27
20,23,2,2,1990,1,8,1247808.99
8,38,4,1,1968,1,7,922294.06
15,10,2,1,1995,2,7,577888.65
11,36,4,1,1977,1,6,1088356.15
17,35,2,3,2017,0,3,1441708.65
12,30,5,1,1964,1,5,983214.14
16,17,5,3,1986,0,1,797437.54
13,10,5,3,1950,2,7,653384.96
19,14,1,2,2016,0,9,879847.12
5,12,4,2,1973,1,1,292327.82
16,13,5,2,1976,2,2,700706.93
7,21,1,2,1989,1,3,433818.66
19,22,4,2,2012,2,3,1162482.21
5,23,2,3,2010,2,8,645406.39
8,17,1,3,1985,1,7,543501.56
7,35,3,1,1973,1,6,744303.36
7,30,1,3,1973,2,10,777439.16
8,32,1,3,1953,2,10,838715.66
9,24,4,2,2016,1,4,769223.43
17,30,2,3,1983,0,9,1380789.8
9,34,3,2,2006,1,1,807336.62
16,39,5,1,1998,2,2,1534375.4
11,37,5,1,2002,1,4,1132899.84
13,15,1,3,1972,0,3,501301.25
20,32,4,1,2018,1,1,1496212.36
16,16,4,3,2002,2,5,901557.07
19,18,5,1,2011,1,7,1119773.0
14,11,3,2,1990,2,2,525569.89
20,20,2,2,2006,2,5,1082778.35
8,10,3,2,2009,1,6,516696.06
5,26,2,2,2003,2,7,619556.38
5,19,5,3,2019,2,1,542134.35
6,24,2,1,2006,0,7,588767.96
7,36,4,3,1959,0,4,734262.11
13,15,1,2,1989,0,8,645553.45
9,27,1,3,1956,0,4,580212.8
8,35,5,1,1987,2,6,948960.44
9,24,4,3,2010,1,9,948543.66
11,37,3,1,1952,2,5,1007444.15
17,27,4,3,2000,2,4,1280799.69
8,33,1,1,1996,2,8,808745.11
15,10,1,1,2017,1,9,668457.52
12,30,4,2,1987,0,4,985292.21
16,24,4,1,1985,2,3,1009093.95
18,25,1,2,1990,2,8,1217257.67
17,14,3,2,2018,0,5,796810.09
13,18,5,2,1962,2,2,704238.84
17,39,5,3,2007,1,10,1892095.26
20,24,4,3,1999,2,9,1472714.68
9,15,5,3,1979,2,3,616820.24
6,19,1,3,2011,0,2,403454.2
8,16,1,1,1974,2,1,309931.87
7,21,4,1,1976,2,8,660887.84
7,29,4,3,2000,1,3,706103.95
12,21,4,1,2006,0,7,864742.13
10,27,3,1,1996,0,1,662557.25
13,34,5,2,1988,1,1,1130941.92
7,22,4,2,1965,2,9,701075.35
14,39,2,2,1971,0,8,1379295.5
14,29,2,2,2003,0,3,996419.92
13,33,1,1,1970,2,6,1033731.19
17,34,5,3,2021,2,3,1557878.96
15,40,4,1,1965,0,4,1373451.43
18,21,2,1,2008,2,1,910231.71
16,10,5,1,1980,0,5,610733.18
20,15,1,2,1991,2,1,689100.39
20,11,3,2,1981,2,1,589049.21
17,15,5,2,2008,1,10,1052642.15
7,21,5,3,1983,2,7,766690.22
18,35,3,1,1958,1,6,1473404.09
20,22,5,3,1960,2,2,1124968.57
15,25,1,2,1959,0,2,775542.57
7,29,1,3,1966,0,7,625272.76
15,12,3,1,2017,2,1,537031.13
10,35,4,1,1997,2,2,933457.05
17,13,2,2,2001,0,8,771690.65
19,38,4,2,1974,2,6,1788962.06
9,34,5,3,1970,1,2,890489.56
20,16,2,2,2014,1,7,999265.65
13,12,3,2,2012,1,4,603311.11
18,15,3,1,2000,1,2,708934.74
8,39,2,2,1985,1,6,909733.6
18,29,1,2,2015,2,9,1434592.18
5,25,2,1,1964,2,9,548139.29
5,22,5,1,1988,1,8,635758.75
20,23,1,3,2019,2,3,1169980.85
12,25,3,2,1950,2,3,758556.4
7,29,2,1,1972,1,2,484263.38
13,38,4,3,1988,2,5,1348531.41
8,31,4,3,2006,2,4,867672.47
6,27,5,2,1983,2,7,744565.75
18,26,4,2,1990,1,4,1218871.54
13,37,2,3,2022,2,9,1437064.3
16,19,2,1,1962,0,2,649450.23
13,32,4,3,2019,0,6,1265039.93
15,14,2,2,1955,1,7,623490.3
17,35,5,1,2001,0,4,1502915.07
18,16,1,1,1952,1,6,712460.85
17,17,5,3,2012,0,7,1031266.1
18,18,5,2,1998,0,4,970573.12
15,23,2,3,1996,0,8,1038285.59
10,17,1,3,2004,1,9,703924.88
11,26,2,3,2013,1,1,760221.83
19,29,3,1,2014,2,7,1468894.24
8,16,2,1,2016,1,9,655522.7
10,24,2,2,1964,0,10,807356.78
9,23,2,2,1981,0,5,628715.55
6,20,1,3,2017,1,2,441216.72
