PROGRAMA,SEMESTRE,ÁREA,RIESGO_BASE,HORAS,RIESGO_POST_EST
ADMINISTRACION COMERCIAL-NEIVA,10.0,RAZONAMIENTO CUANTITATIVO,8.0,0.0,8.0
ADMINISTRACION COMERCIAL-PITALITO,7.0,COMPETENCIA CIUDADANA,1.0,0.0,1.0
ADMINISTRACION COMERCIAL-PITALITO,7.0,INGLÉS,1.0,1.0,0.85
ADMINISTRACION COMERCIAL-PITALITO,7.0,LECTURA CRÍTICA,1.0,0.0,1.0
ADMINISTRACION COMERCIAL-PITALITO,7.0,RAZONAMIENTO CUANTITATIVO,1.0,0.0,1.0
ADMINISTRACION COMERCIAL-PITALITO,8.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACION COMERCIAL-PITALITO,8.0,INGLÉS,1.0,1.0,0.85
ADMINISTRACION COMERCIAL-PITALITO,8.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACION COMERCIAL-PITALITO,8.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACION COMERCIAL-PITALITO,9.0,COMPETENCIA CIUDADANA,1.0,0.0,1.0
ADMINISTRACION COMERCIAL-PITALITO,9.0,INGLÉS,2.0,1.0,1.85
ADMINISTRACION COMERCIAL-PITALITO,9.0,LECTURA CRÍTICA,1.0,0.0,1.0
ADMINISTRACION COMERCIAL-PITALITO,9.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
ADMINISTRACION COMERCIAL-PITALITO,10.0,COMPETENCIA CIUDADANA,2.0,0.0,2.0
ADMINISTRACION COMERCIAL-PITALITO,10.0,INGLÉS,2.0,1.0,1.85
ADMINISTRACION COMERCIAL-PITALITO,10.0,LECTURA CRÍTICA,2.0,0.0,2.0
ADMINISTRACION COMERCIAL-PITALITO,10.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,1.0,COMPETENCIA CIUDADANA,2.0,0.0,2.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,1.0,INGLÉS,2.0,1.0,1.85
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,1.0,LECTURA CRÍTICA,2.0,0.0,2.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,1.0,RAZONAMIENTO CUANTITATIVO,1.0,0.0,1.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,6.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,6.0,INGLÉS,0.0,1.0,0.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,6.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,6.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,7.0,COMPETENCIA CIUDADANA,4.0,0.0,4.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,7.0,INGLÉS,5.0,1.0,4.85
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,7.0,LECTURA CRÍTICA,5.0,0.0,5.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,7.0,RAZONAMIENTO CUANTITATIVO,3.0,0.0,3.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,8.0,COMPETENCIA CIUDADANA,2.0,0.0,2.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,8.0,INGLÉS,3.0,1.0,2.85
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,8.0,LECTURA CRÍTICA,3.0,0.0,3.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,8.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,9.0,COMPETENCIA CIUDADANA,3.0,0.0,3.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,9.0,INGLÉS,5.0,1.0,4.85
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,9.0,LECTURA CRÍTICA,3.0,0.0,3.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,9.0,RAZONAMIENTO CUANTITATIVO,4.0,0.0,4.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,10.0,COMPETENCIA CIUDADANA,1.0,0.0,1.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,10.0,INGLÉS,1.0,1.0,0.85
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,10.0,LECTURA CRÍTICA,1.0,0.0,1.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS-NEIVA,10.0,RAZONAMIENTO CUANTITATIVO,1.0,0.0,1.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,1.0,COMPETENCIA CIUDADANA,10.0,0.0,10.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,1.0,INGLÉS,10.0,1.0,9.85
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,1.0,LECTURA CRÍTICA,10.0,0.0,10.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,1.0,RAZONAMIENTO CUANTITATIVO,10.0,0.0,10.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,2.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,2.0,INGLÉS,0.0,1.0,0.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,2.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,2.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,4.0,COMPETENCIA CIUDADANA,3.0,0.0,3.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,4.0,INGLÉS,3.0,1.0,2.85
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,4.0,LECTURA CRÍTICA,2.0,0.0,2.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,4.0,RAZONAMIENTO CUANTITATIVO,1.0,0.0,1.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,5.0,COMPETENCIA CIUDADANA,2.0,0.0,2.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,5.0,INGLÉS,3.0,1.0,2.85
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,5.0,LECTURA CRÍTICA,3.0,0.0,3.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,5.0,RAZONAMIENTO CUANTITATIVO,3.0,0.0,3.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,6.0,COMPETENCIA CIUDADANA,10.0,0.0,10.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,6.0,INGLÉS,10.0,1.0,9.85
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,6.0,LECTURA CRÍTICA,9.0,0.0,9.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,6.0,RAZONAMIENTO CUANTITATIVO,10.0,0.0,10.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,7.0,COMPETENCIA CIUDADANA,13.0,0.0,13.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,7.0,INGLÉS,11.0,1.0,10.85
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,7.0,LECTURA CRÍTICA,13.0,0.0,13.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,7.0,RAZONAMIENTO CUANTITATIVO,8.0,0.0,8.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,8.0,COMPETENCIA CIUDADANA,8.0,0.0,8.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,8.0,INGLÉS,8.0,1.0,7.85
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,8.0,LECTURA CRÍTICA,8.0,0.0,8.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,8.0,RAZONAMIENTO CUANTITATIVO,6.0,0.0,6.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,9.0,COMPETENCIA CIUDADANA,8.0,0.0,8.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,9.0,INGLÉS,8.0,1.0,7.85
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,9.0,LECTURA CRÍTICA,8.0,0.0,8.0
ADMINISTRACION DE EMPRESAS TURISTICAS-NEIVA,9.0,RAZONAMIENTO CUANTITATIVO,8.0,0.0,8.0
ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS - VIRTUAL-NEIVA,1.0,COMPETENCIA CIUDADANA,2.0,0.0,2.0
ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS - VIRTUAL-NEIVA,1.0,INGLÉS,2.0,1.0,1.85
ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS - VIRTUAL-NEIVA,1.0,LECTURA CRÍTICA,3.0,0.0,3.0
ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS - VIRTUAL-NEIVA,1.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,1.0,COMPETENCIA CIUDADANA,27.0,0.0,27.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,1.0,INGLÉS,28.0,1.0,27.85
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,1.0,LECTURA CRÍTICA,26.0,0.0,26.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,1.0,RAZONAMIENTO CUANTITATIVO,29.0,0.0,29.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,2.0,COMPETENCIA CIUDADANA,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,2.0,INGLÉS,2.0,1.0,1.85
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,2.0,LECTURA CRÍTICA,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,2.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,3.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,3.0,INGLÉS,0.0,1.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,3.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,3.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,4.0,COMPETENCIA CIUDADANA,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,4.0,INGLÉS,3.0,1.0,2.85
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,4.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,4.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,5.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,5.0,INGLÉS,1.0,1.0,0.85
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,5.0,LECTURA CRÍTICA,1.0,0.0,1.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,5.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,6.0,COMPETENCIA CIUDADANA,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,6.0,INGLÉS,2.0,1.0,1.85
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,6.0,LECTURA CRÍTICA,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,6.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,7.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,7.0,INGLÉS,0.0,1.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,7.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-NEIVA,7.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,1.0,COMPETENCIA CIUDADANA,12.0,0.0,12.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,1.0,INGLÉS,13.0,1.0,12.85
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,1.0,LECTURA CRÍTICA,13.0,0.0,13.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,1.0,RAZONAMIENTO CUANTITATIVO,13.0,0.0,13.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,2.0,COMPETENCIA CIUDADANA,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,2.0,INGLÉS,2.0,1.0,1.85
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,2.0,LECTURA CRÍTICA,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,2.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,3.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,3.0,INGLÉS,0.0,1.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,3.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,3.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,5.0,COMPETENCIA CIUDADANA,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,5.0,INGLÉS,2.0,1.0,1.85
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,5.0,LECTURA CRÍTICA,1.0,0.0,1.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,5.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,6.0,COMPETENCIA CIUDADANA,5.0,0.0,5.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,6.0,INGLÉS,6.0,1.0,5.85
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,6.0,LECTURA CRÍTICA,6.0,0.0,6.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,6.0,RAZONAMIENTO CUANTITATIVO,5.0,0.0,5.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,7.0,COMPETENCIA CIUDADANA,3.0,0.0,3.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,7.0,INGLÉS,3.0,1.0,2.85
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,7.0,LECTURA CRÍTICA,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,7.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,8.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,8.0,INGLÉS,0.0,1.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,8.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA Y BURSÁTIL-PITALITO,8.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA-NEIVA,4.0,COMPETENCIA CIUDADANA,1.0,0.0,1.0
ADMINISTRACIÓN FINANCIERA-NEIVA,4.0,INGLÉS,1.0,1.0,0.85
ADMINISTRACIÓN FINANCIERA-NEIVA,4.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACIÓN FINANCIERA-NEIVA,4.0,RAZONAMIENTO CUANTITATIVO,1.0,0.0,1.0
ADMINISTRACIÓN FINANCIERA-NEIVA,7.0,COMPETENCIA CIUDADANA,3.0,0.0,3.0
ADMINISTRACIÓN FINANCIERA-NEIVA,7.0,INGLÉS,3.0,1.0,2.85
ADMINISTRACIÓN FINANCIERA-NEIVA,7.0,LECTURA CRÍTICA,3.0,0.0,3.0
ADMINISTRACIÓN FINANCIERA-NEIVA,7.0,RAZONAMIENTO CUANTITATIVO,3.0,0.0,3.0
ADMINISTRACIÓN FINANCIERA-PITALITO,4.0,COMPETENCIA CIUDADANA,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA-PITALITO,4.0,INGLÉS,2.0,1.0,1.85
ADMINISTRACIÓN FINANCIERA-PITALITO,4.0,LECTURA CRÍTICA,2.0,0.0,2.0
ADMINISTRACIÓN FINANCIERA-PITALITO,4.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
